이름,플랫폼,작가,그림,장르,상태,요일,조회수,별점,총화수,무료,무료주기,키워드,줄거리,첫화링크
악당 아빠를 입양했다,kakaopage,시얌,이온,로판,연재중,수,693.1만,9.9,52,3,3시간,"로맨스판타지,빙의물,육아물,가족물,여주판타지,신데렐라,다정남,냉정남,집착남,까칠남,능력녀,엉뚱발랄녀,애교녀,우연한만남,힐링물","어느 날 눈을 뜨니 여섯 살이 되어있었다내가 빙의한 건 온갖 가시밭길을 걷는 피폐 소설 속 주인공, 성녀 프리실라이왕 이렇게 된 거, 예정된 특급 불행을 피하고 최애캐와 행복하게 살아야 한다작중 최종 보스이자 악당,피도 눈물도 없는 레헬 제국의 폭군, 멜키아데와 함께아빠를 입양해서 공주도 되고, 최애캐 덕질도 하는 행복한 인생아빠의 사망 플래그도 제거할 겸, 겸사겸사 남주인공도 구해줬는데""내 딸한테 접근하면 죽는다""아빠는 왜 이렇게 자꾸 사망 플래그를 꽂는 거지?게다가""날 길들였으면 책임도 져야지""어쩐지 남주까지 내게 집착하는데, 이게 어떻게 된 거지?",https://page.kakao.com/content/61858119
공무원 헌터의 S급 퇴사일지,kakaopage,팀 제로인(WHYNOTME),팀 제로인(WHYNOTME),드라마,연재중,수,254.9만,9.9,35,3,3시간,"판타지물,성장물,초월적존재,썸,고퀄리티,귀여운,두근거리는,분량많은,사랑스러운,스릴 넘치는,여주중심,노블코믹,삼각관계,권선징악,힐링물","세상은 판타지 세계가 되었는데,F급 헌터로 각성한 나는 아직도 말단 공무원이다심지어 야근도 밥 먹듯이 하는 최악의 공무원""시스템 이 X 같은 새끼야""던전에 홀로 내던져져 죽음을 코 앞에 둔 순간,한 담긴 욕설 한마디로 모든 게 바뀌었다【시스템 관리자에게 욕설을 뱉은 각성자 '윤서라'에 대한 정보를 확인 중입니다】【시스템 관리자와 계약하시겠습니까?】워낙 급한 상황이라, 일단 계약하긴 했는데【종합 평가치를 재조정합니다】【각성자 ‘윤서라’ (S급)】능력치가 F급에서 S급으로 점핑해버렸다이왕 S급 된 거, 야근하는 공무원 따위 때려치고 말겠어""나는 과거에 널 본 적이 없어 너는 누구지?""""안녕? 지구 관리자의 계약자야""라고 생각했는데, 어쩌다 보니 좌 회귀자 우 귀환자 끼고 사건사고의 중심이 되어 버렸다나, 정말 퇴사할 수 있을까?퇴사 난이도 SSS+급, 살아남아라 직장인F급 공무원 헌터 윤서라의 S급 퇴사일지, 지금 시작합니다",https://page.kakao.com/content/63527047
하데스와 페르세포네,kakaopage,iso,로나,로맨스,연재중,수,25만,10.0,26,3,3시간,"현대로맨스,오피스물,사내연애,우연한만남,나쁜남자,상처남,카리스마남,능력녀,순진녀,상처녀,엉뚱발랄녀,삼각관계,로맨틱코미디,드라마,신분차이","항상 모든 것에 감사하고 발랄한 긍정적인 신입사원, 민경진최고의 컨설팅 회사 <A&Z>에 입사해서 일상적인 회사생활을 꿈꾸던 찰나였다""다시""하지만 만나게 된 상사는 '하데스'라는 별명이 붙은 긴급전략기획팀의 일중독 본부장, 정준우""이딴 쓰레기 같은 내용을 보고서라고 가져온 건가?""사람을 도구처럼 알고 가차 없는 지적과 공격적인 말투로 결국 혼자 팀에 남은 준우그런 본부장을 수습기간 선배로 둔 경진을 모두가 안타까워하지만―""넵 다시 해오겠습니다""""죄송합니다 퇴근 전에 고치겠습니다""""이것도 잘못 되었나요? 바로 시정하겠습니다""경진은 수상쩍을 정도로 지옥의 왕에게 지지 않는 텐션을 가졌는데?절대 상극일 것만 같은 두 사람의 조합둘을 둘러싼 각종 사건들이 벌어지면서 이내 전혀 다른 서로에게 끌리게 된다준우와 경진, 아니 <하데스와 페르세포네>의달달하고 사건 넘치는 오피스 로맨스 드라마가 시작된다",https://page.kakao.com/content/63857053
랭커의 귀환,kakaopage,"이산책(REDICE STUDIO), 호박새(REDICE STUDIO)",박준호,판타지,연재중,수,"1,636.1만",9.9,155,4,3시간,"게임,레이드,복수,귀환,먼치킨,시스템,천재,성장,조력자,고인물,마검사,테이밍,만능,플레이어,BJ","가상현실게임 <아레나> 초창기,최강최고의 랭커였던 밀리갓캐릭터를 삭제하고 홀연히 떠났던 그가망해버린 집안을 일으키기 위해 다시 아레나에 돌아왔다“캐릭터를 생성하시겠습니까?”",https://page.kakao.com/content/57552517
당신의 후회는 받지 않겠습니다,kakaopage,IIAKI,제제,로판,연재중,수,946.5만,9.9,128,3,3일,"로맨스판타지,첫사랑,상처남,후회남,무심남,능력녀,상처녀,짝사랑녀,정략결혼,소꿉친구,잔잔물","“사랑을 약속할 순 없지만 그래도 내게 너 말고 다른 여자는 없을 거다”괜찮을 거라 생각했다그가 나를 사랑하지 않아도, 내 사랑으로 우리의 결혼이 행복해질 수 있을 거라 생각했다그러나 그 순진했던 소망은 오래가지 않아 깨져 버리고 말았다레이몬드의 첫사랑인 리제나가 아이를 데리고 돌아왔기 때문에“리제나의 아이를 1황자로 입적시키려고 해”그는 내게 그리 말했고,“우리 이혼하자”난 그를 버리기로 결심했다***“……뭐?”순간 나의 말을 이해하지 못한 듯 레이몬드의 눈동자가 거세게 흔들렸다처음 보는 그의 동요에 난 왜인지 홀가분한 기분이 들었다난 부드러운 미소를 그리며 그에게 다시 한번 입술을 열었다“이제 그만 널 떠나고 싶어 그러니 레이몬드, 우리 그만하자 나와 이혼해 줘”오랜 짝사랑의 끝이었다",https://page.kakao.com/content/58415850
흑막을 버리는 데 실패했다,kakaopage,ASSAM,쓩늉,로판,일시적 휴재,수,"2,086.1만",10.0,109,3,3시간,"로맨스판타지,먼치킨,환생물,피폐물,운명,천재,능글남,집착남,존댓말남,능력녀,무심녀,뇌섹녀,신분차이,배틀연애,권선징악","""자, 이제 너만 남았네 주인님""전생에 읽었던 소설 속 백작 영애로 환생했다 덕분에 아버지가 내 노예라고 데려온 한 소년에 의해 백작 가문이 몰살당하는 것도,내가 끔찍한 죽음을 맞이한다는 것도,이 세계의 결말도 알 수 있었다 그 비참한 운명을 피하기 위해 노력했지만 모두 헛수고였다 결국 대마법사로 각성한 그의 손에 아버지와 시종들은 모두 죽었다 이제 나도 죽……을줄 알았는데?""난 주인님이 가지고 싶었거든""이 세계의 흑막이 나에게 집착하기 시작한다 ……이런 건 원작에 없었는데?원작에서 벗어난 발레타는 조금씩 이 세계의 어두운 진실에 가까워져간다더러운 수작질을 벌이고 있었던 황실부터, 정체를 알 수 없는 마물들의 등장까지자유롭게 살고 싶었을 뿐인데 세상부터 먼저 구해야하는 상황과연 발레타는 원하는 삶을 찾을 수 있을까?",https://page.kakao.com/content/58743054
폭군 천제님께 간택되기 싫었습니다만,kakaopage,IIAKI,라쿤,로맨스,연재중,수,221.8만,9.9,101,3,1일,"퓨전사극,성장물,가상시대물,운명,천재,까칠남,다정남,츤데레남,능력남,능력녀,엉뚱발랄녀,신분차이,달달물,로맨틱코미디","「‘폭군’ 천제의 간택전하늘님께서 아내를 뽑는 축제, 혹은 전쟁천후 간택전이 드디어 시작되었다온 나라 안의 모든 선녀님들이 다 모여서 최후의 1인이 남을 때까지 치열한 경쟁을 벌인다는데……」……는 남의 일이고요간택전에서 잘만 해내면 공무원 특채가 가능하다니 인간계나 하늘나라나 공무원이 최고 아니겠어요? 그러니 이번 간택전의 미션은 공무원 천궁 직속 7급 공무원이다아니, 나는 그저 공무원을 목표로 했을 뿐인데, 왜 자꾸 천제님과 엮이는 거냐고요",https://page.kakao.com/content/58876601
제니스,kakaopage,김태희,RJ,드라마,연재중,수,499.1만,10.0,80,3,3일,미스터리,"조직에서 버려진 최고 요원 제니스드디어 평화로운 죽음을 맞나 했는데백작가의 사랑받는 딸이 되었다삶은 고통이요, 남은 것은 배신이로다인간 불신에 가득찬 그녀는 사교계의 전쟁터 하일리움에 입학하는데사랑의 열병을 앓는 소녀들과 미스테리한 죽음그깟 불장난이 뭐라고 목숨을 거는지 신경이 거슬린다 ""원한다면 갖게 해 줄게그러니 그 흐리멍덩한 눈깔 좀 어떻게 해 봐""세상만사 귀찮은 제니스의 발칙한 참견이 시작된다",https://page.kakao.com/content/59284836
너의 아이가 아니야,kakaopage,,팀 트윙클,로판,일시적 휴재,수,"1,358.1만",10.0,76,4,3일,"로맨스판타지,육아물,오해물,재회물,먼치킨,속도위반,가족물,까칠남,절륜남,집착남,능력녀,걸크러쉬,털털녀,소꿉친구,로맨틱코미디","‘……진짜 아기라고? 여기에, 이 안에 아기가 자라고 있단 말이야?’전쟁을 종식시킨 위대한 전쟁 영웅 칼리아어느 날 그녀는 자신의 임신 사실을 알게 된다아이 아빠는 단 하루, 격정의 밤을 보냈던제국의 대마법사이자 절친인 샤이먼 테를로앙 공작“넌…… 여전히 아이들이 싫어?”“싫어 여전히 그리고 앞으로도 계속 싫을 것 같아”샤이먼의 대답에 칼리아는 임신 사실을 밝히지 않기로 하고,기사단장의 은퇴를 선언한 뒤 감쪽같이 사라진다그러나 누구보다 칼리아를 사랑했던 샤이먼은미친 듯이 그녀를 찾기 시작한다 ""나는 다시는 널 잃지 않을 거야""",https://page.kakao.com/content/59253279
마법학교 마법사로 살아가는 법,kakaopage,,APTX,판타지,연재중,수,"1,016.5만",9.9,93,4,3시간,"차원이동,생존,학원,빙의,성장,착각,아티팩트,마법사,명문세가","대학원생 이한다른 세계 마법명가의 막내로 태어나다다시는 '학'자가 들어간 곳에 가지 않겠다 다짐한 그그 다짐이 무색하게 향하게 된 곳은 악명높기로 유명한  마법학교 '에인로가드'자급자족은 기본,  몬스터 출몰은 옵션, 게다가 교수들은 전부다 또X이들 뿐지금껏 보지 못한 짠내 나는 학교생활이 시작된다나 무사히 졸업할 수 있을까?",https://page.kakao.com/content/60701535
후회의 산미,kakaopage,매사,헤폰,로판,연재중,수,137.7만,9.7,67,3,1일,,"[매주 수요일 업데이트]“당신을 사랑하게 된 내가 저주스러워”잉젤라 제국의 천사라 불리는 최고의 미녀, '바네사 로호크'그런 그녀의 집안이 하루아침에 반역자로 몰려 몰락했을 때그녀를 구한 건 빈카르트 공국의 주인이자 바네사의 짝사랑 상대인'데클렌 빈카르트'였다""바네사 로호크 나와 가겠나?""그는 구원이었고, 빛이었으며, 사랑이었다곁에 있을 수만 있다면 어떤 고난도 참을 수 있었고죽음도 결코 둘의 사이를 갈라놓을 수 없으리라고 그렇게 맹세했는데이 관계는 애초에 시작되었으면 안 됐다""바네사, 넌 내 허락 없이 절대로 내게서 벗어날 수 없어”*원작 : 몽슈 [웹소설] 후회의 산미",https://page.kakao.com/content/60746695
북검전기,kakaopage,,해민,무협,일시적 휴재,수,"7,071.2만",9.9,188,28,3시간,"정통,무림,전쟁,성장,생존,천마,무당,책사,마교,정파","[매주 수요일 연재]무협소설의 최강자 우각의 동명 소설 <북검전기>가 만화로 새롭게 태어나다세상을 혼란에 빠뜨린 집단 밀야에 맞서기 위해 중원의 고수들이 모여 만들어낸 북천문북천문의 강력한 투쟁으로 밀야는 서서히 그 모습을 감추었고, 북천문은 중원을 평화를 대표하는 집단으로서 강력한 위용을 과시하게 되었다그러나 평화가 길어지자 중원의 고수들 사이에서는 북천문에 대한 은밀한 시기가 생겨났고, 결국 북천문의 4대 문주인 진관호는 배신자들에게 둘러싸인 채 스스로 목숨을 끊음으로서 파국의 끝을 맞이하게 된다 모두가 떠난 북천문에 홀로 남은 진관호의 아들 진무원(13세)은 무공이라고는 손톱만큼도 알지 못 하는 어린 소년 그러나 남몰래 아버지가 전수한 고어(古語)를 통해 북천문의 벽에 새겨진 무공을 익히기 시작한다 그러던 어느날, 진무원의 앞에 정체를 알 수 없는 한 소녀가 나타나게 되는데…",https://page.kakao.com/content/54189843
재능 삼킨 마법사,kakaopage,영근(스토리플러스),"스튜디오 이너스, DJ공룡",판타지,연재중,수,"1,290.7만",9.8,76,6,3시간,"빙의,먼치킨,마법사,노력,성장,조력자,생존,복수,천재,마왕","""어이, 메피 여기 언령마법 풀이 좀 써주시죠?""예상치 못한 사건으로 한 몸 살이를 하게 된천재 마법사 엘릭 메르빙거와 원죄의 마왕 메피스토펠레스마법을 쓰지 못하는 체질이었던 엘릭은마왕의 힘을 최대한 흡수해 마도 명문 메르빙거 가의 재건을 꿈꾸지만메피스토는 엘릭의 몸을 지배하여 다시 고귀한 마왕으로 부활하고자 한다 ""좋게 좋게 가시죠?""""하찮은 인간 따위에게 굴복할 것 같으냐""뻔뻔한 인간 마법사와 하찮은 마왕의'동상이몽 마족삼킴 어드벤처'",https://page.kakao.com/content/58489471
진짜 딸이 돌아왔다,kakaopage,,마루코믹스,로판,연재중,수,"1,769.4만",9.9,105,3,3시간,"로맨스판타지,가족후회물,복수물,여주판타지,짝사랑,첫사랑,능력남,절륜남,계략남,능력녀,걸크러쉬,계략녀,절륜녀,계약관계,정략결혼","천한 하녀의 피를 물려받은 반쪽짜리 귀족, 헬가 유트리트하녀가 바꿔치기한 공작가의 사생아, 가짜 딸헬가는 진짜가 되기 위해 노력하고 또 노력했다""공작부인 진짜 공녀님이 살아있답니다""""이름은 힐리안느라고…""진짜가 돌아와 헬가의 자리를 빼앗지 않게 해달라고 신께 빌고 또 빌었다""…지마 힐리안느""""돌아오지 마, 제발""가짜가 한 기도라서 신께 닿지 않았던 걸까'신이시여 그동안 수도 없이 빌었잖아''그 애가 돌아오지 못하게 해달라고'목이 쉬어라 외쳤던 기도들이 무색하게도 결국 돌아왔다'내 세상을 전부 무너트릴 그 아이…공작가의 진짜 딸, 힐리안느'진짜 딸이 돌아왔다",https://page.kakao.com/content/59888435
"강호, 미치다!",kakaopage,최재봉,조명원,무협,연재중,수,64.2만,9.4,52,4,1일,"정통,먼치킨,성장,화산","하류 인생을 살아가는 모자란 반푼이 이묵그는 상납 관계에 있는 무림 문파에게 당해 생사지경을 오가게 된다 그때 마침 광독을 만나 살아남고, 놀라운 신체개조과정을 거쳐 무림 문파를 상대하다가 문파의 뿌리인 화산에게 추적당한다 결국 광독이 중얼거렸던 말을 떠올리고 기련산으로 유령 신마의 무공을 취하려 떠나게 되는데몇 년 후, 이전과는 완전히 다른 초월적 존재로 돌아온 이묵화산에 향한 그의 미친 강호가 시작된다",https://page.kakao.com/content/62753511
촌검무인,kakaopage,노경찬,하마,무협,연재중,수,50.6만,9.8,44,45,,"정통,무림,검,화산",황룡촌에서 농사를 지으며 화산의 검을 가다듬는 포이종마침 화산파에서 화산의 제자들을 상대로비무대회를 열게 된다화산속가오룡대회포이종은 대회의 참가를 마음먹게 되고아들을 데리고 화산파로 향한다하지만 강호의 은원에 얽혀포이종의 주변에서 알 수 없는 일들이 벌어지는데포이종은 화산에 도착할 수 있을 것인가?그리고 포이종이 가진 화산의 검은 어떠한 수준인가촌에서 세운 검을 확인하기 위한 포이종의 여정이 시작된다,https://page.kakao.com/content/62473734
머실리스,kakaopage,오롱,원진영,액션,연재중,수,35.4만,9.4,39,3,3시간,"먼치킨,성장,생존,방송,천재,격투,플레이어","[가상현실 서바이벌 게임 머실리스]어딘가에서 카메라가 돌아가고,돈을 위해 방송에 얼굴을 내민 사람들은죽거나, 죽이거나 선택의 기로에 선다'불쾌할 정도로 실제 사람을 죽인 것만 같다…'서로가 서로를 죽여야만 하는 잔혹한 세계평범한 삶을 살던 최형우가 첫발을 내딛는다",https://page.kakao.com/content/63085282
입양딸 역할을 지나치게 잘해버렸다,kakaopage,,라콰,로판,연재중,수,926.3만,10.0,59,3,1일,"로맨스판타지,육아물,착각물,먼치킨,빙의물,피폐물,가족물,대형견남,직진남,조신남,능력녀,무심녀,걸크러쉬,계략녀,신분차이","책 속에 처음 들어왔을 때 나는 그냥 살아남는 것이 목표였다최대한 가늘고 길고 행복하게그래서 아등바등 최선을 다해 살았다슬슬 독립해서 꽃길을 걸어보려 했는데“어딜 가더라도 주인님 옆자리는 내 거예요 평생 내 머리 쓰다듬어주기로 약속했잖아 그렇지요?”원작에서는 내게 찔려죽는 최강자 남주가 집착 어린 눈동자로 나를 응시했다아니라고 했다가는 세계를 멸망시킬 것 같다“응, 내가 걔 죽여줄게 그럼 너도 기쁘겠지?”아무래도 다섯째 오빠는 상당히 미쳐 있는 듯하다“여기서 여기까지가 내 땅이야 그리고 네 것이기도 하지 네 원대한 꿈과 함께 호흡할 수 있음이 기뻐”대륙 최고의 부자가 된 넷째 언니는 지도를 펼쳐놓고 이렇게 말했다그런 원대한 꿈이 없다고 말하면 대참사가 벌어질 것 같다“공녀님께서 온전히 지배하실 겨울성이 너무나 기대된답니다”나를 섬기는 집사의 얼굴에도 웃음꽃이 피어올랐다“네가 벨라투를 잇지 않겠다면, 내일 아침 내 심장은 멈춰 있을 거야 그래도 괜찮겠니?”원래 후계자가 되어야 할 첫째 언니는 목숨으로 나를 협박했다그리고 이게 제일 문제였다어쩐지 원작보다 더욱 강해진 아버지의 입가에 스산한 미소가 피어올랐다“독립? 해보거라 그 땅에 개미 한 마리 살려놓지 않을 테니”네가 내 품을 떠나 독립할 수 있을 것 같더냐…… 라며 흉폭한 눈동자로 나를 노려본다이상하다뭔가 아주 많이 잘못되었다나는 그냥 최선을 다했을 뿐인데",https://page.kakao.com/content/61324740
오빠를 위해 남주를 꼬셔보겠습니다,kakaopage,,양진,로판,시즌 휴재,수,258.8만,9.9,49,3,1일,"로맨스판타지,빙의물,다정남,유혹녀","내 최애 캐릭터이자 다정한 큰 오빠에게 비참한 엔딩이 주어진 소설, 라피네는 여주와 남주와의 계약 결혼을 막기 위해 남주를 꼬셔보기로 했다",https://page.kakao.com/content/61702588
"형아, 나 귀엽지?",kakaopage,이지안,개적,드라마,연재중,수,388만,10.0,38,6,3시간,"일상물,현대물,힐링물,판타지물,성장물,전문직,초능력,일상,가족,형제/자매/남매,귀여운,노블코믹,잔잔한,사랑스러운,이야기중심","[20살 차이 형제의 힐링 감성 육아기]갑작스러운 교통사고로 부모님을 잃게 된 시혁과 20살 차이가 나는 남동생 시하“아아”이 말밖에 하지 못하는 동생이런 동생과 자신을 둘러싸고 가족들이 장례식장에서 수군거렸다 “둘이 어떻게 해요? 누가 맡으려고 해요?”“어유 이제 대학생인데 저 어린 동생을 어떻게 키워요”“보험금은 있대?” 그렇게 어수선한 가운데, 시하가 입을 뗐다 “형아 형아 으아앙”시하가 처음으로 정확히 발음한 말 그리고 울음형아아빠도 아니고, 엄마도 아닌 형아 시혁은 천천히 다가가 시하를 끌어안았다내가 너를 지킬게나는 그런 감정을 담아 조금 세게……조금은 조심스럽게……",https://page.kakao.com/content/63184618
집착 남주가 나를 주인공으로 만들었다,kakaopage,다이애나 춘자,온눌,로판,연재중,수,186.9만,9.9,39,3,1일,"로맨스판타지,빙의물,운명,다정남,집착남","- ‘악룡의 대항자’ 속에 오신 걸 환영합니다- 저는 소설 속에 온 여행자들을 위한 가이드입니다소설 속 조연 '티아로제티 이솔'에게 빙의했다원래 세상으로 돌아가기 위해서는 책의 결말을 완성해야 한다고?- 행복해야 해요 보고 싶을 거야어느새 남자주인공 ‘렉시온 스페로’를 사랑하게 되었고,그를 위해 죽는 것으로 엔딩을 봤지만웬걸, 눈 떠보니 아직도 책 속 세상이다?- 새로운 주인공은 ‘티아로제티 이솔’입니다그런데 이번엔 내가 주인공이 된 것도 모자라-- 티티, 나를 선택해 이 빌어먹을 운명이 아니라이전의 삶과는 다른, 렉시온의 집착이 시작되는데?",https://page.kakao.com/content/63244126
내 룸메이트를 소개합니다,kakaopage,민손,오주하,로맨스,연재중,수,21.2만,9.0,32,3,1일,"현대로맨스,오피스물,동거물,능력남,평범녀,달달물","숨통도 안 트이는 지옥철에서 왕복 4시간의 통근에 말라가던 윤수현장거리 근로자를 위한 사내 기숙사에 당첨되게 되고, 수현은 집에서 독립하는 날만을 손 꼽으며 기다린다 그렇게 기대하던 기숙사에서 기다리고 있던 건, 같은 팀의 윤수현 팀장님?전산 오류로 같은 기숙사에 배정된 두 사람 절대로 기숙사를 양보하지 않을 짠돌이 팀장에게 수현은 동거를 제안한다 팀장은 의외로 흔쾌히 제안을 받아들이는데""그 대신, 조건이 있어요""",https://page.kakao.com/content/63609070
백수무적,kakaopage,작토,다락,판타지,연재중,수,291.7만,9.4,77,3,3시간,"퓨전,귀환,먼치킨,고인물,용사,만능","‘안헬레스’라 불리는 이세계로 소환되었던 신민철그는 이백 년 동안 수차례 죽을 고비를 넘기며 적들을 쓰러트리고, 결국 대륙의 패왕 제로스까지 베어 전쟁을 승리로 이끌었다 드디어 찾아온 안헬레스의 평화를 뒤로 한 채 지구로 돌아오게 된 민철은 염원해온 ‘돈 많은 백수’로서의 삶을 여유롭게 살려고 하지만, 그에게는 또 다른 음모가 다가오기 시작하는데?그놈들이 날 노린다면, 먼저 찾아가서 패버리면 될 뿐이다",https://page.kakao.com/content/60241446
요리하는 마법사,kakaopage,삐리빠라,다한,로판,연재중,수,198.2만,9.9,47,3,3일,"로맨스판타지,빙의물,중세물,역하렘,까칠남,상처남,왕족/귀족,철벽남,무심남,능력녀,자상녀,걸크러쉬,털털녀,로맨틱코미디,치유물","미식(美食)을 사랑하는 타투이스트 유정갑작스러운 사고로 정신을 잃고 눈을 떠보니 평소에 읽던 소설 속 등장인물,‘실비아’에 빙의되어 있었다 게다가 계모 왕비의 학대로 거식증을 앓으며 곧 대륙을 피로 물들일 이 소설의 남자 주인공, ‘펠릭스’와 만나게 되는데…더욱 맛있는 것을 먹기 위해서, 더욱 쉽게 요리하기 위해서 마법진을 몸에 새기는 실비아그녀의 손끝에서 새로이 태어난 마법진이 마수들이 판을 치는 대륙에 새로운 바람을 불어넣는다",https://page.kakao.com/content/60304859
향단뎐,kakaopage,스튜디오 클랩,스튜디오 클랩,로맨스,연재중,수,16.7만,9.9,13,14,,"동양풍,시대/역사로맨스,까칠남,오만남,걸크러쉬,빙의물,오해물,드라마,로맨틱코미디,개그물,유혹남,능력녀,무심녀,털털녀,라이벌/앙숙"," 하루하루 힘들게 살아가고 있던 취준생 '유향기'는 어느날, 전래동화 춘향전의 '향단'으로 빙의하게 된다 여주인공도 아닌 조연이라니? 오히려 좋아 어여쁜 우리 아씨 춘향이와 나를 친딸처럼 챙겨주는 마님까지 소설 속에 빙의하고 나서야 가족의 따뜻함을 느낀 향단이는 평온한 나날을 보내고 있었다 '그'가 나타나기 전 까지는 세계관 최종 빌런 '변학도'는 분명 춘향이를 괴롭히다가 남주 이몽룡에 의해 처단당할 운명이다 감히 우리 춘향이를 넘보다니 어림도 없지 ""어느 집 규수인지 몰라도 왈가닥이군"" ""기다리고 있었다"" ""그러니 내가 주겠다는 거야 다른 이들이 얻을 수 없는 그런 영광을 말이야"" 그런데 왜 자꾸 나랑 엮이는 거야? 저 남자는 왜 춘향이보다 나한테 더 관심을 주는 거냐고 본격 고전소설을 비트는 향단이와 변학도의 로맨스 판타지, <향단뎐> ",https://page.kakao.com/content/63697399
물 속을 떠도는 별,kakaopage,천본,천본,로맨스,완결,완결,"1,707",10.0,82,3,,"현대로맨스,운명,첫사랑,친구>연인,잔잔물,달달물","바닷가에서 돌아온 다음 날 두 사람의 몸이 바뀌었다 이건 운명이라는 장난일까?아니면 신이 꾸민 계시일까? 떠다니는 별들을 이어 모으면 별자리가 되듯,이 두 사람 사이에 숨겨진 무언가가 있는 것 같은데…",https://page.kakao.com/content/61430864
월검신마,kakaopage,SHENMAN,SHENMAN,무협,연재중,화,57.1만,9.7,160,5,3일,"정통,무림,회귀,생존","어린 시절눈 앞에서 어머니의 죽음을 목격한 명하백그는 어머니의 복수를 위해하루가 멀다하고 수련에 매진한다오로지 수련만이 전부였던 하백의 삶은가문 간의 이해관계가 얽힌 혼약이 깨지면서평화롭던 나날에 금이 가기 시작하는데…[소년이여, 손에 쥔 검 한 자루로세상을 구할 강자가 되어라]",https://page.kakao.com/content/59823378
리부트 시스템,kakaopage,"추산, 이수","추산, 이수",액션,연재중,화,289.1만,9.4,194,4,2일,"게임,퓨전,생존,깽판,먼치킨,시스템,천재,성장,조력자,아티팩트,플레이어","서기 2036년,시공간과 차원이 급작스레 꼬이게 된다그로 인한 '공간 균열'이 지구에 '몬스터'를 흘러들어오게 만든 것이다몬스터로 인해 점점 황폐해지는 지구, 죽어가는 사람들그들은 수많은 연구 끝에 새로운 차원을 찾아냈다이 차원에는 게임처럼 '시스템'이 존재한다만년 레벨 3에 머무르고 있는 주인공, 이민규아카데미 입학 당시에는 천재라 불렸으나 지금은 레벨업도 못하는 찌질이 취급을 당하고 있다그런 그가 '절대자' 시스템을 만나고,인생이 완전히 달라졌다?사랑하는 사람들을 지키기 위해 강해진돈귀신 민규의 먼치킨 행진기,즐겁게 감상해 주세요",https://page.kakao.com/content/57706650
S급 던전의 여주인,kakaopage,정아,허드,로판,연재중,수,"3,894",10.0,33,1,,,"[매주 수요일 업데이트]“목표는 S급이야 그 정도는 돼야 이 빚을 다 갚지 않겠어?”어마어마한 빚과 함께 F급 던전을 상속받은 서큐버스 ‘아델라이데’ 어떻게든 빚을 청산해야 놀고 먹을 수 있는데, 던전 경영은 어렵기만 하다 와중에 잘생긴 동료들은 자꾸만 자신의 정기를 먹으라며 앞다퉈 아델을 유혹하는데…? 귀엽고 사랑스러운 서큐버스의 던전 경영기*원작 : 최덕구 [웹소설] S급 던전의 여주인",https://page.kakao.com/content/62990592
레이디는 싫습니다,kakaopage,점면,윤무우,로판,연재중,화,50.2만,9.6,26,3,1일,"로맨스판타지,여주판타지,성장물,카리스마남,직진남,대형견남,차도남,능력녀,엉뚱발랄녀,걸크러쉬,사이다녀,상처녀,냉정녀,계약관계,달달물","망나니 황태자의 정부로 팔려가기 전, 공작에게 계약 결혼을 제안했다“당신의 부친께서 저와의 혼인을 허락해 주실까요?”“아니죠 그러니 방법은 하나뿐이에요”“사고를 쳐야죠”치한은 머리를 깨줘야 맛골목 건달에게는 총알을 박아주고이웃 나라 황자도 때려눕혔다남자가 코웃음 쳤다“포로로 잡힌 주제에 건방지기는 보르네스라면 그 집 개새끼까지 싸가지 없을 것 같단 말이지”아리안느가 싱긋 웃으며 말했다“우리 집엔 개 안 키워 이미 주인이 개새끼잖아”악녀인 듯 악녀 아닌 악녀 같은 그녀, 아리안느 보르네스의 파란만장 스토리",https://page.kakao.com/content/63767937
왕이 돌아왔도다,kakaopage,,로묘,무협,연재중,월,231.1만,9.4,282,5,1일,"퓨전,노력,무림,생존,성장,천재,검,술법","출생의 비밀을 안고 태어난 무술 강자, 소재현그는 무술대회에서 이겨 봉령단을 받아 고모의 다리를 고치는 소박한 꿈을 가지고 있었지만날파리처럼 꼬여대는 사도 가문을 시작으로 첩첩산중으로 나타나는 강자들과의 혈투를 피하기 어려워진다날이 갈수록 힘들어지는 상황 속에서 죽은 줄만 알았던 전설 속 소 가(家)의 최강자가 돌아왔다는  소식에 대전장마저 혼란스러워지고강호 고수들과의 계속되는 결투, 그리고 여인들과의 사랑그 속에서 소재현은 제 출생의 비밀과 마주하게 된다",https://page.kakao.com/content/54072730
나태한 소드마스터,kakaopage,,마루코믹스,판타지,연재중,월,637.3만,9.4,121,3,3시간,"차원이동,환생,먼치킨,천재,고인물,검사,마검사,마왕,명문세가","자신의 의지와 상관없이 성검의 선택을 받은 용사세계의 구원을 위한다는 명목에 오로지 타인을 위해 살아온 인생이 지긋지긋하기만 했다구원을 위해 마지막 남은 최후의 적, 마왕을 쓰러뜨리고 결심한 건 자신의 죽음짊어진 용사의 의무와 성검의 주인이라는 짐을 벗기 위해마왕과 함께 목숨을 버리고 영원한 안식에 빠져들려고 했는데…""오 도련님께서 하루라도 빨리 검을 잡고 싶어하시는 것 같습니다""""백작님 도련님 좀 보십시오 벌써 검에 관심이 생기셨나 봅니다""검에서 벗어나려고 목숨까지 버리고 마주한 건 검술명가의 막내아들로 환생이라고?""차라리 다시 죽여줘""",https://page.kakao.com/content/59000298
