이름,플랫폼,작가,첫화링크,장르,조회수,좋아요,무료,줄거리,키워드,상태,요일,무료주기
전쟁광 남편의 아이를 빼돌렸다,kakao,깜자,https://webtoon.kakao.com/content/%EC%A0%84%EC%9F%81%EA%B4%91-%EB%82%A8%ED%8E%B8%EC%9D%98-%EC%95%84%EC%9D%B4%EB%A5%BC-%EB%B9%BC%EB%8F%8C%EB%A0%B8%EB%8B%A4/3018,로맨스 판타지,198.3만,9.5만,3.0,"한 달 후면 딸과 함께 남편 손에 죽는 악녀가 나라고?전생을 자각하면서 그간의 악녀 인격에서 깨어난 노엘 하지만 개과천선 하자마자 닥쳐온 현실은 무섭기만 하다 이 세계가 자신이 전생에 읽은 소설 속이며, 한 달 후면 딸과 함께 남편에 의해 죽기 때문남편인 루퍼트 아이넬 후작은 유명한 전쟁광이자  저주에 걸려 주기적으로 살생을 저질러야 하는 남자이기에이대로면 소설 속 전개대로 그의 손에 쓱싹당하고 말 것이다 내가 변했음을 알리자 루퍼트와 친해지자 노엘은 어린 딸과 살아남으려면 이 방법뿐이라는 생각에열심히 루퍼트 주위를 맴돌기 시작한다 하지만 명성 자자한 악녀의 변신은 오해만 불러 일으키고 세상에서 개과천선이 제일 쉬웠지만살아남기가 제일 어려운 노엘의 서바이벌, STRAT","몰입되는,발랄한,로맨스판타지,육아물",시즌완결,금,3시간마다 무료
계약 결혼이 끝났다,kakao,샛새,https://webtoon.kakao.com/content/%EA%B3%84%EC%95%BD-%EA%B2%B0%ED%98%BC%EC%9D%B4-%EB%81%9D%EB%82%AC%EB%8B%A4/3982,로맨스 판타지,34.1만,1.2만,3.0,"눈속임 부부로 살기로 했던 계약 결혼이 끝났다나는 집안으로부터의 자유를 원했고,그는 기반을 다질 내 집안의 뒷배경이 필요했다그로부터 3년, 우리는 무사히 계약 결혼을 마쳤다이혼 서류에 도장만 찍으면 서로 원하던 삶을 누릴 수 있게 될 터였다“이제 슬슬 이혼 서류 준비를 하는 건 어때요?”“뭐? 그게 무슨 소리야?”“이혼 준비를 하자고요”“그러니까… 이혼이 뭔데?”아니, 갑자기 이게 무슨 소리람3년 내내 다정했던 계약 남편은 어디 갔는지 모르쇠로 일관하는 공작 각하만 남았다 약속했잖아, 당장 이혼 서류에 도장 찍어","귀여운,설레는,로맨스판타지,로맨틱코미디물",연재,수,1일마다 무료
기적의 물리치료사,kakao,서문씨,https://webtoon.kakao.com/content/%EA%B8%B0%EC%A0%81%EC%9D%98-%EB%AC%BC%EB%A6%AC%EC%B9%98%EB%A3%8C%EC%82%AC/3607,판타지 드라마,100.7만,3.6만,3.0,"물리치료사 이기적센터는 망하고, 여자친구에게는 차이고되는 것 하나 없는 날, 떨어지는 별을 맞고 나서 상태창이 보이기 시작했다?최고의 물리치료사로 성장하는 이기적의 이야기","감동적인,따뜻한,판타지드라마,힐링물",시즌완결,화,1일마다 무료
저 같은 정령에게 집착하지 마세요!,kakao,"miso, 고니",https://webtoon.kakao.com/content/%EC%A0%80-%EA%B0%99%EC%9D%80-%EC%A0%95%EB%A0%B9%EC%97%90%EA%B2%8C-%EC%A7%91%EC%B0%A9%ED%95%98%EC%A7%80-%EB%A7%88%EC%84%B8%EC%9A%94/3475,로맨스 판타지,150.6만,6.1만,3.0,"소설 속 엑스트라, 최약체 하급 바람의 정령으로 빙의한 ‘아셀라’ 나약하기 그지없던 아셀라는 정령들에게 괴롭힘을 당하며, 살아남기 위한 분노를 삼킨다모든 정령은 신의 뜻에 따라 정해진 기사와 맹약을 맺는데, 아셀라는 제국 최고의 기사단장 ‘라세즈 시에르텐샤’와 맹약을 맺게 되었다?“라세즈? 그의 정령은 첫 전투에서 죽게 되는데?”살아남기 위해서는 라세즈와의 맹약부터 끊어내야 한다 다행히도 서로의 상대가 되길 원치 않았던 두 사람은 상대가 구해질 때까지만 맹약을 잇기로 하고, 끝이 정해진 “시한부 맹약”을 시작한다우여곡절 끝에 드디어 시한부 맹약의 끝이 찾아오고 아셀라는 드디어 맹약을 깨려는데, 갑자기 태도가 돌변한 라세즈 갑자기 맹약을 해지해줄 수 없다고 하는데 심지어 어쩌다 주워버린 두 번째 기사 카이로스는 라세즈를 밀어내고 첫 번째가 되겠다고 하고, 원작의 남자 주인공인 황태자와 제국의 바람둥이 에드워드까지 본인을 기사로 삼아달라고 애원한다 그리고 이 모든 남자들을 질투하는 상급 정령 헤르휘스까지쓸모없는 흙수저 정령이었던 아셀라에게 손을 뻗치는 무수한 남자들이 소설 속에서 조용히 살아남으려던 그녀에겐 부담스럽기만 한데……“저 같은 정령에게 집착하지 마세요”","설레는,귀여운,로맨스판타지,빙의물",연재,일,3시간마다 무료
무협지 최고 악당의 귀한 딸입니다,kakao,다우,https://webtoon.kakao.com/content/%EB%AC%B4%ED%98%91%EC%A7%80-%EC%B5%9C%EA%B3%A0-%EC%95%85%EB%8B%B9%EC%9D%98-%EA%B7%80%ED%95%9C-%EB%94%B8%EC%9E%85%EB%8B%88%EB%8B%A4/2489,로맨스 판타지,548.5만,25.8만,3.0,"""부잣집 딸로 환생한 줄 알았건만, 무협지 최고 악당의 딸로 태어났다?무관심한 아빠, 결국 날 죽이는 오빠,살아남기 위해선 어서 무공을 익혀 튀어야 하는데이 두 빠빠 왜 자꾸 날 귀여워하는겨?""","발랄한,귀여운,로맨스판타지,육아물",시즌완결,월,3시간마다 무료
쓰레기장 속 황녀님,kakao,50,https://webtoon.kakao.com/content/%EC%93%B0%EB%A0%88%EA%B8%B0%EC%9E%A5-%EC%86%8D-%ED%99%A9%EB%85%80%EB%8B%98/2397,로맨스 판타지,681.1만,17만,3.0,"황궁 숲 속 버려진 성에 홀로 살고 있는 아이 아이는 황제의 잊혀진 자식이었다""나는 거짓말쟁이가 싫어 혼자서도 잘 살 수 있어""긴 기다림 끝에 황제가 찾아오지만 아이의 마음은 이미 굳게 닫힌 상태였다""네게 이름을 지어주마""""이름?""""에스트렐라, 그게 네 이름이란다 …기다리게 해서 미안하다, 아가""조금은 특별한 능력을 가진 아이와 그녀의 새로운 가족의 이야기 상처 많은 에스트렐라의 가족 힐링물","따뜻한,궁금하게하는,로맨스판타지,육아물",완결,3시간마다 무료,3시간마다 무료
새벽을 사랑하는 방법,kakao,은섬,https://webtoon.kakao.com/content/%EC%83%88%EB%B2%BD%EC%9D%84-%EC%82%AC%EB%9E%91%ED%95%98%EB%8A%94-%EB%B0%A9%EB%B2%95/3729,로맨스,37.7만,1.2만,31.0,"성적 평범 특기 없음 하고 싶은 것 없음 열여덟의 끝자락, 고3을 앞두고‘현실 자각 타임’을 정통으로 겪고 있는유성의 밤은 길기만 하다 모든 게 잘난 절친과는 출발선부터 다른 것 같고빛나던 어린 시절은 다시는 꿀 수 없는 꿈같다하면 할수록 스스로를 초라하게 만드는 생각들은유성을 점점 더 깊고 어두운 밤에 가둔다 어김없이 찾아온 밤,시끄러운 가족들을 피해 향한 편의점에서특이한 모습의 여자아이 새벽과 조우하는데… 독특한 인상을 남기고 사라진 그 애는다음날 유성의 반에 전학생으로 다시 등장한다심지어 짝꿍… 현실과 동떨어져 있는 듯한 새벽과친구가 되면서 밤에 멈춰있던 유성의 시간이점차 새벽을 향해 흐르기 시작한다 그러나, 곧 새벽 또한 깊은 밤에갇혀있단 사실을 깨닫게 되는데… 이 이야기는 우리가 밤을 이겨내고새벽을 향해 가는 이야기 새벽을 사랑하는 방법","귀여운,설레는,로맨스,학원로맨스물",시즌완결,월,전편 무료
막장드라마의 제왕,kakao,아이라,https://webtoon.kakao.com/content/%EB%A7%89%EC%9E%A5%EB%93%9C%EB%9D%BC%EB%A7%88%EC%9D%98-%EC%A0%9C%EC%99%95/2622,판타지 드라마,121.1만,4.4만,3.0,"""다시 태어난다면 막장 드라마를 만들고 싶어""죽기 직전, 주마등처럼 스친 소원 하나정체 모를 '시스템'은 이 엉뚱한 소원을 접수해버린다이현석은 막장 드라마를 만들기 위해 PD  시절로 회귀하는데…유령이 된 명감독 김철, 미래의 대배우 이설그리고 현석의 목숨을 건 '막장 드라마' 제작기 막장을 노린 드라마는 점점 세계적 인기를 누리며 판이 커지고 만다","통쾌한,유머러스한,판타지드라마,회귀물",완결,3일마다 무료,3일마다 무료
흑막을 치료하고 도망쳐버렸다,kakao,DNDM,https://webtoon.kakao.com/content/%ED%9D%91%EB%A7%89%EC%9D%84-%EC%B9%98%EB%A3%8C%ED%95%98%EA%B3%A0-%EB%8F%84%EB%A7%9D%EC%B3%90%EB%B2%84%EB%A0%B8%EB%8B%A4/3309,로맨스 판타지,225.7만,8.3만,3.0,"좋아하는 소설 속으로 환생한 에블린하지만 불행하게도 그녀가 맡은 역할은, 막대한 신력을 지녔지만 이용만 당하다 비참한 죽음을 맞는 엑스트라백작가에 입양돼 갖은 학대와 수모를 당하면서도 신력을 쓰지 않고 버텼다 모든 건 이 소설의 남자 주인공, 저주받은 흑막 대공에게 납치당하기 위해서 ""예언을 하나 들었는데, 네가 내 저주를 풀 수 있을 거라더군""""네, 다만 조건이 있어요 이 제국을 떠나서 살 수 있는 돈이 필요해요""살아남기 위해서는 예언 속 여신이자 여자 주인공, 코델리아인 척해야만 한다에블린이 원하는 건 로맨스가 아니라 자유뿐계약은 순조로웠다 ……에블린이 여자 주인공이 아니라는 걸 들키기 전까진 ""감히 날 속인 것도 모자라 도망을 쳐? 그 책임의 무게가 가볍진 않을 거야""결국 이대로 죽는 건가 싶어 눈을 질끈 감았는데, ""나와 혼인하지""응? 흑막 대공이 어디가 이상하다","긴장감있는,몰입되는,로맨스판타지,빙의물",완결,15,1일마다 무료
혼자 레벨업 합니다,kakao,방개,https://webtoon.kakao.com/content/%ED%98%BC%EC%9E%90-%EB%A0%88%EB%B2%A8%EC%97%85-%ED%95%A9%EB%8B%88%EB%8B%A4/2430,학원/판타지,395.7만,12.5만,3.0,"짐꾼으로 일하던 한열  오매불망 기다리던 각성과 함께 헌터가 되다 그런데 이게 웬일?   몬스터를 잡아서 레벨업을 하고,  행동을 통해 스킬을 획득하라고?","긴장감있는,개성있는,학원/판타지,레벨업물",시즌완결,월,1일마다 무료
맛있는 세 끼 - 저스트 더 투 오브 어스,kakao,사각,https://webtoon.kakao.com/content/%EB%A7%9B%EC%9E%88%EB%8A%94-%EC%84%B8-%EB%81%BC-%EC%A0%80%EC%8A%A4%ED%8A%B8-%EB%8D%94-%ED%88%AC-%EC%98%A4%EB%B8%8C-%EC%96%B4%EC%8A%A4/3737,로맨스,110만,2.9만,3.0,"S대 병원 소아 응급실을 지배하는 폭군, 차수혁환자를 제외한 모든 것들에 까칠하기만 한 그에게 고민이 하나 있었으니,바로 한국에 들어온 지 얼마 안 되어 음식이 입에 맞지 않는다는 것그러던 어느 퇴근길, 맛있는 냄새에 이끌려 간 곳에서어쩐지 따뜻해 보이는 도시락집을 발견한다“먹고 맛없거나 식중독에 걸리면 항의하세요 가게가 어딘 줄은 아시죠? 저는 <맛있는 한 끼>의 대표, 이윤아입니다”남은 도시락이 없다며 제가 먹을 돈가스 샌드위치를 시식용으로 건네는 윤아를의심스럽게 바라보며 그것을 받아 든 수혁“하지만 단언컨대 제 단골이 될 거예요”윤아의 장담대로 그녀의 단골이 된 그는하루 세 끼 도시락을 시키는 것은 물론,자신을 먹여 살리는 그녀를 만나기 위해 자꾸만 가게로 향하게 되는데……","따뜻한,평온한,로맨스,힐링물",시즌완결,월,1일마다 무료
홈마에게 찍혔을 때,kakao,레드피치 스튜디오,https://webtoon.kakao.com/content/%ED%99%88%EB%A7%88%EC%97%90%EA%B2%8C-%EC%B0%8D%ED%98%94%EC%9D%84-%EB%95%8C/3939,로맨스,4.4만,"4,435",3.0,"""왜 거울에 내 얼굴이 아니라, 내 최애 남우수 얼굴이 있지?""내 이름은 최도리 빠순이다데뷔 초부터 6년을 내 아이돌,남우수만 좋아했지만돌아오는 건 철저한 무시뿐이었다하지만 그런 내 눈앞에 나타난망할 케이팝의 Fairy진짜 내 몸에 우수를 넣은 거야?""난 케이팝의 Fairy★ 당신의 빠순이 포인트를 몸 체인지 권으로 교환해 드릴게요""지능 되찾고 탈덕하려고 했는데누구도 원치 않은 이 상황 뭐냐고근데, 오늘 얼굴은 못 찍으면 죽어야 하는 얼굴인데?""우수야 스트로보 들고 포토콜 하는 곳으로 와 스트로보AA 건전지 12개 사는 거 잊지 말고""""도리 누나 그게 뭔데요?""""오늘 꼭 찍어야 해 빨리 와 제발 제발요 선생님""천재 아이돌 남우수와 최애바라기 홈마 최도리리얼 현실 고증,몸 체인지로 눈물 없인 볼 수 없는 역지사지 로맨스","발랄한,개성있는,로맨스,로맨틱코미디물",완결,15,1일마다 무료
"성자는 개뿔, 현대의학의 힘이다",kakao,로렌조,https://webtoon.kakao.com/content/%EC%84%B1%EC%9E%90%EB%8A%94-%EA%B0%9C%EB%BF%94-%ED%98%84%EB%8C%80%EC%9D%98%ED%95%99%EC%9D%98-%ED%9E%98%EC%9D%B4%EB%8B%A4/3004,학원/판타지,236.6만,10.1만,3.0,"천재 의사로 의학계에 힘을 떨치던 유성수술실을 집처럼 여기던 그는 어느 날 교통사고로 죽게 되고정신을 차려보니 다른 세계로 떨어져 버렸다그런데 성녀 성국 힐링 마법이라고?""내가 얼마나 힘들게 의학을 배웠는데, 손만 대 놓고 치료 끝? 아, 놔맛탱이 가 버리겠네""","궁금하게하는,통쾌한,학원/판타지,환생물",시즌완결,월,1일마다 무료
미래 USB로 인생역전!,kakao,커피콩,https://webtoon.kakao.com/content/%EB%AF%B8%EB%9E%98-USB%EB%A1%9C-%EC%9D%B8%EC%83%9D%EC%97%AD%EC%A0%84/3663,판타지 드라마,44.7만,1.3만,3.0,"훈훈한 외모 말고는 딱히학력도, 강의력도 내세울 게 없는 국어 강사, 김준영한 노인을 만나게 된 뒤 모든 게 뒤바뀐다전국 중,고등학교의 전과목 수행평가,중간, 기말고사는 물론 수능까지미래의 모든 기출이 담긴 USB를 손에 넣다","통쾌한,따뜻한,판타지드라마,성공성장물",휴재,월,3시간마다 무료
다시 한번 아이돌,kakao,"해량, 메이 스튜디오",https://webtoon.kakao.com/content/%EB%8B%A4%EC%8B%9C-%ED%95%9C%EB%B2%88-%EC%95%84%EC%9D%B4%EB%8F%8C/2888,드라마,204.2만,11.5만,3.0,"데뷔를 눈앞에 둔 아이돌 그룹의 멤버 ‘서현우’ 프로필 촬영 날 현장 당시의 사고로 인해 한쪽 얼굴에 흉측한 흉터가 생겨 데뷔의 꿈이 무너지게 된다 매니저의 권유로 아이돌 트레이너를 맡게 되지만 누추한 나날들을 슬픔으로 보내던 어느 날, 담당 아이돌 그룹을 따라 해외로 떠나는 비행기에 올랐으나, 갑작스러운 이변으로 비행기 추락사고가  그런데 “너 아까부터 잠꼬대를 왜 이렇게 시끄럽게 하냐?” “돌았냐느니, 돌아간다느니”정신을 차려보니 한참 데뷔조에 들기 위해 준비하고 있었던 19살 때로 회귀하게 됐다?  외모는 19살의 외모를 가졌지만, 회귀 전 트레이너 경험으로 다져진 아이돌 서현우 그가 다시 한번 아이돌이 되기 위한 성장 이야기","설레는,귀여운,드라마,회귀물",시즌완결,월,3시간마다 무료
생존학 개론,kakao,하루,https://webtoon.kakao.com/content/%EC%83%9D%EC%A1%B4%ED%95%99%EA%B0%9C%EB%A1%A0/3423,액션/무협,89.6만,3.8만,4.0,"'기억해라''하나, 둘, 셋, 넷, 다섯, 여섯, 일곱 여덟''끝까지 기억할 것이다 끝까지'나의 아내 줄리아가 놈들에게 짓밟힌 날, 내 모든 삶과 목표는 뜨거운 증오로 물들었다 그래, 놈들을 죽여야 한다""복수가 끝나는 날, 나도 그녀의 옆에 묻어 줘""그날까지 나는, 살아남아야 한다목숨을 건 이 생존 게임에서","긴장감있는,몰입되는,액션/무협,복수물",완결,15,1일마다 무료
망할 가문을 살려보겠습니다,kakao,무늬랑,https://webtoon.kakao.com/content/%EB%A7%9D%ED%95%A0-%EA%B0%80%EB%AC%B8%EC%9D%84-%EC%82%B4%EB%A0%A4%EB%B3%B4%EA%B2%A0%EC%8A%B5%EB%8B%88%EB%8B%A4/2381,로맨스 판타지,643.1만,24.1만,11.0,"33세의 나이로 어이없게 비명횡사한 지연우, 그녀가 빙의한 책 속 인물 태라 엘리어스는 3년 후면 멸문할 가문의 다섯째 딸이었다 게다가 102kg의 몸무게와 히키코모리로 자신을 가둬버린 성격은 덤 책 속에서 멸문가 역적의 딸로 목이 잘려 죽고 싶지 않다 살아보리라 그러기 위해 연우는 최선을 다해 살을 빼고, 할 수 있는 모든 방법을 동원해 역적의 길로 향하는 가문의 향방을 돌려놓을 것이다","통쾌한,몰입되는,로맨스판타지,빙의물",휴재,월,1일마다 무료
비선실세 레이디,kakao,멍이,https://webtoon.kakao.com/content/%EB%B9%84%EC%84%A0%EC%8B%A4%EC%84%B8-%EB%A0%88%EC%9D%B4%EB%94%94/2694,로맨스 판타지,558만,27.7만,3.0,"역하렘 소설 속 여주인공의 하나뿐인 동생으로 빙의했다게다가 한 번 크케 앓다 깨어난 탓에, 여주인공이 유난히 애지중지한다그걸 이용해서 언니에게 상처만 준 갱생불가 쓰레기 원작 남주를 물리쳤더니……'리리, 안녕? 혹시 케이크 좋아하니?''리리는 언니를 닮아서 정말 예쁘구나 쿠키 먹지 않을래? 언니한테는 멋진 오빠가 줬다고 꼭 말해주고''이거 먹고 잠깐 저쪽으로 가 있지 않을래? 아저씨랑 언니랑 긴히 할 말이 있어서 그런데'어째서인지 다른 남주 후보들이 나에게 잘 보이지 못해 안달이다 ***""못 생긴 애랑은 같이 안 놀아""눈앞의 남자아이가 한껏 심통난 얼굴로 중얼거렸다어쭈 그렇게 나온다 이거지?이 구역 실세의 맛을 보여주지나는 언니의 옷자락을 슬며시 잡아 당기며 불퉁하게 뇌까렸다""나 쟤 싫어 그러니까 쟤 데려온 오빠도 싫어""동시에 세드릭의 얼굴이 흡사 사망 선고를 들은 사람처럼 하얗게 질렸다#책빙의 #실세 뽀시래기 여주 #눈치 빠른 여주#세계 제일 미인 자매 #자매가 차린 역하렘","귀여운,따뜻한,로맨스판타지,빙의물",시즌완결,월,3일마다 무료
발푸르기스의 너머,kakao,귄,https://webtoon.kakao.com/content/%EB%B0%9C%ED%91%B8%EB%A5%B4%EA%B8%B0%EC%8A%A4%EC%9D%98-%EB%84%88%EB%A8%B8/3485,판타지 드라마,24.2만,1.3만,52.0,"19세기 중반 프로이센, 악마 메피스토펠레스와 계약한 ‘쾨니힐스베르크의 마녀’라 불리는마리야 파우스트 박사는 ‘죽은 사람을 살릴 수 있는 방법’을 찾기 위한 여행길 도중 소설가를 꿈꾸는 호기심 많은 청년 마르틴과 만나게 된다 파우스트는 그를 적대시하던 악인 발렌틴에 의해 한 차례 무너지지만, 그녀를 흠모하는 마르틴과 제자 바그너의 도움으로 다시 일어선다 온갖 일들 끝에 파우스트는 그토록 찾던 진리를 찾지만, 자신의 잘못 또한 깨닫는데… 결국 죽어가는 이들을 살리면서 마침내 삶의 환희를 느끼게 된 파우스트 그녀는 과연 마녀였을까?","몰입되는,미스테리한,판타지드라마,가상시대물",시즌완결,월,전편 무료
"남편은 됐고, 돈이나 벌렵니다",kakao,몰코,https://webtoon.kakao.com/content/%EB%82%A8%ED%8E%B8%EC%9D%80-%EB%90%90%EA%B3%A0-%EB%8F%88%EC%9D%B4%EB%82%98-%EB%B2%8C%EB%A0%B5%EB%8B%88%EB%8B%A4/3067,로맨스 판타지,"1,094.7만",37.9만,3.0,"여친 있는 남자의 아내가 되어 버렸다음, 건드리지 말아야겠지?“그럼 넌 바닥에서 자”“뭐?”싫은 눈치다그래, 바닥은 딱딱하지그렇다면 어쩔 수 없다“손만 잡고 잘게 누나 믿지?”그런데 어쩌다 남편과 첫날밤에 침대를 부숴 버린 걸까……*황제의 눈밖에 나 유폐당한 황녀, 아리스티네사실 그녀는 미래와 현재, 과거를 모두 볼 수  있는 <제왕안>의 소유자였다정략혼의 희생양이 된 그녀는 괴물 같은 야만인과 맺어지는데……“가장 귀한 것을 내 신부님께 드려야지”괴물이라던 예비 남편님이 지나치게 멀쩡하다하지만 이 떡은 남의 떡‘돈이나 벌어야지’자고로 황금 보기를 내 것같이 하라고 했다<남편은 됐고, 돈이나 벌겠습니다>과연 그녀는 돈방석에 앉아 자유롭게 사는 꿈을 이룰 수 있을까?아니면 두 마리의 토끼를 동시에 잡게 될까?","발랄한,설레는,로맨스판타지,로맨틱코미디물",시즌완결,월,3일마다 무료
1RM의 기간트 라이더,kakao,쿠도,https://webtoon.kakao.com/content/1RM%EC%9D%98-%EA%B8%B0%EA%B0%84%ED%8A%B8-%EB%9D%BC%EC%9D%B4%EB%8D%94/3926,판타지 드라마,20.3만,"7,985",3.0,"21세기 지구의 기억을 가진 채,마법과 강철의 대륙, 라니아케아에서이름도 없는 역민으로 환생한 강거한노예나 다름없는 역민의 삶을 벗어나기 위해서는,'마성의 돌'을 들어 올려 기간트 라이더가 돼야 한다'등 세우고''엉덩이 쪼이고''배 아래 깊숙이까지 숨을 들이마시고'트레이너였던 전생의 지식을 이용해헬스하듯 마력을 쌓고,높디높은 신분제의 사다리를 오른다증기기관차 같은 폭풍성장과, 강철이 맞부딪히는 대전쟁의 현장웹툰으로 돌아온 <1RM의 기간트라이더>","환상적인,설레는,판타지드라마,회귀물",연재,목,3시간마다 무료
악역을 교화시켜 버렸다,kakao,다라,https://webtoon.kakao.com/content/%EC%95%85%EC%97%AD%EC%9D%84-%EA%B5%90%ED%99%94%EC%8B%9C%EC%BC%9C-%EB%B2%84%EB%A0%B8%EB%8B%A4/3923,로맨스 판타지,48.8만,1.6만,3.0,"악역 서브남주에게 초반부터 살해 당하는, 소설 속 조연으로 빙의했다  그런데 악역이 이런 소리나 늘어놓는다 ""당신은 산을 노니는 사슴만큼 우아합니다""  나는 정말로 길거리의 돌멩이처럼 숨만 쉬며 살다가 죽으려 했는데  이 악역, 나를 죽일 생각이 없다  비상이다","궁금하게하는,공감되는,로맨스판타지,빙의물",연재,금,1일마다 무료
책 먹는 마법사,kakao,크루 이스트우드,https://webtoon.kakao.com/content/%EC%B1%85-%EB%A8%B9%EB%8A%94-%EB%A7%88%EB%B2%95%EC%82%AC/2658,액션/무협,278.9만,9.9만,3.0,명석한 두뇌와는 다르게 재능이 없어 3년 동안 아카데미를 졸업하지 못하던 낙제생 '테오도르 밀러'우연한 계기로 탐식의 마도서 '글러트니'가 왼손에 깃들게 되고 테오도르는 책을 먹으면 그 힘을 사용자에게 축적시키는 글러트니의 능력을 이용해 누구보다 빠르게 성장하기 시작한다,"몰입되는,개성있는,액션/무협,성공성장물",시즌완결,월,1일마다 무료
12구역,kakao,로븐,https://webtoon.kakao.com/content/12%EA%B5%AC%EC%97%AD/3597,액션/무협,42.3만,1.7만,4.0,"핵 전쟁으로 발전한 3차 세계대전 후 100년문명의 소멸 직전 과학자들의 노력으로 위기를 극복한 인류는 단결하여 '세계정부'를 창설하고안전하게 살아갈 수 있는 대도시, 안전구역 '돔'을 마련했다인구 증가에 따라 돔은 포화 상태가 되어 대책으로 서울에 새로운 돔 건설이 추진되지만오랜 기간 무정부 상태였던 서울의 이권을 가진 폭력 조직들이 이를 방해한다이 사태를 두고 볼 수 없었던 세계정부는 폭력조직을 물리치고 돔을 건설하기 위해정부 대행 법 집행자 '알파'와 행정관 '엠버'를 서울에 파견한다","몰입되는,궁금하게하는,액션/무협,재난물",연재,월,3시간마다 무료
악당들에게 키워지는 중입니다,kakao,율리,https://webtoon.kakao.com/content/%EC%95%85%EB%8B%B9%EB%93%A4%EC%97%90%EA%B2%8C-%ED%82%A4%EC%9B%8C%EC%A7%80%EB%8A%94-%EC%A4%91%EC%9E%85%EB%8B%88%EB%8B%A4/3507,로맨스 판타지,657.1만,27.5만,3.0,"즐겨보던 로판 소설의 엑스트라 소녀로 빙의한 지 1년 만에 내가 곧 쫓겨날 신세라는 걸 알게 됐다 차라리 내 발로 집을 나가겠다고 했더니, “사실은 이 아이가 내 따님입니다 그렇지, 따님?” 사이코패스 망나니 공자의 눈에 들어 버렸다? ‘놀이 후에 상대한테 준 돈이 섬 하나를 살 정도였다던데?’ 그에게 어울려 주면 일확천금을 얻을 수 있다기에 훌륭히 딸 노릇을 하고, 몇 달 뒤 두둑해진 통장과 함께 자의 반 타의 반 집을 나왔다 “내가 떠나라고 할 때까지 계속 내 곁에 있거라” 그런데, 나를 놀잇감으로 여기던 아빠가 날 찾아와 붙잡는다","귀여운,궁금하게하는,로맨스판타지,육아물",시즌완결,월,1일마다 무료
황자님께 입덕합니다,kakao,죽선,https://webtoon.kakao.com/content/%ED%99%A9%EC%9E%90%EB%8B%98%EA%BB%98-%EC%9E%85%EB%8D%95%ED%95%A9%EB%8B%88%EB%8B%A4/3770,로맨스 판타지,160.8만,5.8만,3.0,"취미로 쓴 팬픽이 선풍적인 인기로 황족의 귀에까지 들어가 불경죄로 체포된 안젤라 그러나 팬픽 덕분에 1황자의 이미지가 좋아지고, 그 누나인 황녀는 이를 정치적으로 이용하기 위해 안젤라를 곁에 둔다 덕분에 마음껏 덕질하는 안젤라와 그런 안젤라가 껄끄러운 1황자 둘은 티격태격하면서도 점차 가까워지는데…","몰입되는,설레는,로맨스판타지,로맨틱코미디물",휴재,목,7일마다 무료
신이 쓰는 웹소설,kakao,넥스트레벨스튜디오,https://webtoon.kakao.com/content/%EC%8B%A0%EC%9D%B4-%EC%93%B0%EB%8A%94-%EC%9B%B9%EC%86%8C%EC%84%A4/3484,액션/무협,23.7만,1.2만,3.0,"‘눈을 떴더니 소설 속 주인공에 빙의’라는 흔한 클리셰인 줄 알았더니……주인공 이환의 회귀 전 과거, 세계관, 설정, 인물들까지 정해진 것이 아무것도 없댄다신, 아니 작가님이 말씀하셨다“내가 웹소설을 쓰는 방식은 너희들과는 좀 다를 거야”이거 달라도 너무 다른데?카카오페이지 1억뷰 「전생자」, 나민채 작가의 신작 웹소설 원작 넥스트레벨스튜디오와 만나 웹툰으로 탄생 ","역동적인,개성있는,액션/무협,빙의물",완결,1일마다 무료,1일마다 무료
엘리트 공주님의 수석지침서,kakao,울트라미디어,https://webtoon.kakao.com/content/%EC%97%98%EB%A6%AC%ED%8A%B8-%EA%B3%B5%EC%A3%BC%EB%8B%98%EC%9D%98-%EC%88%98%EC%84%9D%EC%A7%80%EC%B9%A8%EC%84%9C/3275,로맨스 판타지,69.4만,4.2만,3.0,"제국의 침공으로 시작된 불행한 결혼 생활 거기다 친오빠의 전사 소식까지…절망의 끝자락에서 이사벨 공주는 행복했던 어린 시절로 회귀하게 된다그저 악몽이라 치부했던 과거가 하나둘씩 재현되자,반드시 미래를 바꿔 놓으리라 다짐하는데…카발라 아카데미 수석 졸업생이라면, 새로운 미래를 꿈꿀 수 있지 않을까?호락호락하지 않은 동급생들 사이 그녀가 맞이할 결말은?","발랄한,몰입되는,로맨스판타지,회귀물",완결,1일마다 무료,1일마다 무료
